# Modern Standard Arabic word frequency list (top 1000)
# Derived from the Leipzig Corpora Collection 'ara_news_2022_10K' (CC BY 4.0),
# https://downloads.wortschatz-leipzig.de/corpora/ara_news_2022_10K.tar.gz
# Tokens: Arabic script only; diacritics, tatweel removed; alef/ya/ta-marbuta
# orthographic variants folded (matches the app's normalize_arabic).
# Format: word<TAB>frequency
في	8518
من	5812
علي	3949
ان	3690
الي	2903
التي	1444
عن	1311
مع	1143
ما	873
الذي	740
هذا	721
لا	701
خلال	661
هذه	659
انه	647
بعد	597
بين	595
او	577
اليوم	503
كما	447
كان	431
رئيس	426
ذلك	405
قبل	393
كل	388
وقال	387
لم	381
قد	365
الرئيس	362
اي	351
عام	347
هو	345
المتحده	341
العام	338
حيث	338
وفي	324
تم	313
و	311
اكثر	301
غير	301
منذ	288
،	283
وزاره	280
روسيا	277
قال	265
لكن	263
يوم	260
بشكل	257
حتي	252
عبر	251
انها	248
مجلس	239
وزير	236
هناك	234
حول	232
اوكرانيا	229
وهو	227
كانت	227
ايضا	224
بعض	220
الله	217
الحكومه	216
واضاف	215
الخارجيه	213
هي	211
يمكن	210
الاحتلال	206
العربيه	203
العالم	201
فان	199
العامه	192
فيما	192
اذا	189
بسبب	186
مثل	185
عدد	185
الدول	185
اسرائيل	183
ضد	181
الولايات	181
الذين	181
وقت	181
اجل	180
بان	178
محمد	175
عبد	173
الا	173
وقالت	172
الروسي	171
بيان	170
اخري	168
ومن	166
الروسيه	166
امام	163
فيها	158
الوزراء	157
دولار	156
بها	154
جميع	154
مليون	152
الف	151
الوطني	151
دون	150
والتي	149
وكان	149
بما	148
فيه	147
مدينه	147
وهي	147
الاتحاد	146
العمل	146
الدولي	144
بشان	144
وقد	144
نحو	144
ولا	144
الدوليه	144
لبنان	143
عليه	143
الامن	143
يكون	142
القوات	142
البلاد	139
الدفاع	137
الجيش	137
احد	136
الاول	136
ولكن	135
وفقا	135
له	133
وان	132
جديده	131
لن	130
مما	127
تلك	127
الوطنيه	127
الحرب	126
لها	125
المنطقه	125
عمليه	124
الدوله	124
قوات	123
بحسب	122
الوقت	121
عندما	120
وذلك	120
وكاله	120
عليها	119
الماضي	119
امس	119
الامريكي	118
عدم	118
الان	118
الطاقه	117
الاسرائيلي	117
فقط	117
واكد	117
الاولي	116
ذلك،	116
الامر	116
حاله	116
اكد	116
اعلنت	116
بن	115
الصحه	115
الماضي،	115
منها	114
شركه	114
مليار	113
ليس	113
تحت	113
الامريكيه	112
مستوي	112
داخل	112
اكبر	112
يجب	112
اسعار	111
اعلن	111
مجموعه	111
يتم	111
واشار	111
تكون	110
ولم	110
به	110
لدي	109
دول	109
فقد	108
خاصه	108
منطقه	108
الثاني	107
عند	106
كبير	105
ايران	105
حزب	105
وعلي	104
اخر	104
اول	103
العديد	103
القدس	102
الماليه	101
اداره	100
العسكريه	100
السعوديه	100
ضمن	100
عاما	99
الاخيره	99
الخاصه	98
وجود	98
بينما	98
النفط	96
دوله	95
العاصمه	95
الغربيه	94
الشرطه	94
كبيره	94
المجلس	94
بايدن	93
الاسرائيليه	93
المملكه	92
الاوروبي	92
حين	92
موقع	92
السابق	91
الامارات	91
التعاون	91
اطلاق	91
شهر	91
وهذا	90
نهايه	90
العلاقات	90
باسم	90
عمل	89
اذ	88
ثم	88
والذي	88
اهميه	88
الشعب	87
الفلسطينيه	86
واوضح	86
شمال	85
اما	85
وتابع	85
وسط	84
ذات	84
ارتفاع	83
ابو	83
الفلسطيني	83
التواصل	83
مصر	83
وكانت	83
الامم	83
الانتخابات	82
عمليات	82
قرار	82
بوتين	81
حكومه	81
